SPEAKER WIRE/LEADS,,,
ITEM NAME ,BRAND AVAILABLITY,,
,ASIAN,TRUE MASTER,M1 
40/38 2 CORE,✅,✅,✅
70/40 2 CORE,✅,✅,✅
100/40 2 CORE,✅,✅,✅
100/40 4 CORE,✅,✅,✅
150/40 2 CORE,✅,✅,✅
150/40 4 CORE,✅,✅,✅
200/40 2 CORE,✅,✅,✅
200/40 4 CORE,✅,✅,✅
14/38 B.C. TO B.C.,✅,✅,✅
23/38 B.C. TO B.C.,✅,✅,✅
40/38 B.C. TO B.C.,✅,✅,✅
70/38 B.C. TO B.C.,✅,✅,✅
100/38 B.C. TO B.C.,✅,✅,✅
